Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
PFD1_HUMAN	O60925	Prefoldin subunit 1	PFDN1 PFD1	PFDN1	FALSE	Chaperons	Proteostasis	ENSG00000113068	PFDN1	protein_coding	prefoldin subunit 1 [Source:HGNC Symbol;Acc:HGNC:8866]	-0.368573599342776	0.201389064726489	0.661306087535431	-0.68373503659534	-0.263905709605722	0.287180852209843	0	0.489942179838101	0.341894308017456
PFD2_HUMAN	Q9UHV9	Prefoldin subunit 2	PFDN2 PFD2 HSPC231	PFDN2	TRUE	Chaperons	Proteostasis	ENSG00000143256	PFDN2	protein_coding	prefoldin subunit 2 [Source:HGNC Symbol;Acc:HGNC:8867]	-0.358084851824184	0.0173037385248893	0.387876680492729	-0.220370937944475	0.145316396525176	0.475188387137593	0	0.930357900329063	0.435395340986217
PFD3_HUMAN	P61758	Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	VBP1 PFDN3	VBP1	FALSE	Chaperons	Proteostasis	ENSG00000155959	VBP1	protein_coding	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	-0.190583987652745	0.196461868766669	0.530644967234661	-0.310237473924691	0.049549614448469	0.396920830071475	0	0.316348118648193	0.791235985501813
PFD4_HUMAN	Q9NQP4	Prefoldin subunit 4 (Protein C-1)	PFDN4 PFD4	PFDN4	TRUE	Chaperons	Proteostasis	ENSG00000101132	PFDN4	protein_coding	prefoldin subunit 4 [Source:HGNC Symbol;Acc:HGNC:8868]	-0.36433705349724	0.0101147269419146	0.3817510906022	-0.230362721355683	0.134996744634352	0.466998120264743	0	0.959259316135222	0.469024554146017
PFD5_HUMAN	Q99471	Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)	PFDN5 MM1 PFD5	PFDN5	FALSE	Chaperons	Proteostasis	ENSG00000123349	PFDN5	protein_coding	prefoldin subunit 5 [Source:HGNC Symbol;Acc:HGNC:8869]	-0.234031240295616	0.1523473913883	0.497166708209543	-0.275574699667689	0.0872889381876503	0.42837929802639	0	0.438974150660677	0.640553360281283
PFD6_HUMAN	O15212	Prefoldin subunit 6 (Protein Ke2)	PFDN6 HKE2 PFD6	PFDN6	FALSE	Chaperons	Proteostasis	ENSG00000204220	PFDN6	protein_coding	prefoldin subunit 6 [Source:HGNC Symbol;Acc:HGNC:4926]	-0.523918672512003	-0.187488643331696	0.199546071462114	-0.566408429579813	-0.26531794852966	0.0982598548130236	0	0.339388915447134	0.149155002880142
POMP_HUMAN	Q9Y244	Proteasome maturation protein (Proteassemblin) (Protein UMP1 homolog) (hUMP1) (Voltage-gated K channel beta subunit 4.1)	POMP C13orf12 UMP1 HSPC014 HSPC036 PNAS-110	POMP	FALSE	Chaperons	Proteostasis	ENSG00000132963	POMP	protein_coding	proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]	-0.800249326649989	-0.290537575634125	0.462902177108099	-0.734245542666653	-0.194568163557598	0.495795705215661	0	0.448190956194001	0.590131977732788
PPID_HUMAN	Q08752	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)	PPID CYP40 CYPD	PPID	FALSE	Chaperons	Proteostasis	ENSG00000171497	PPID	protein_coding	peptidylprolyl isomerase D [Source:HGNC Symbol;Acc:HGNC:9257]	-0.512449210190412	-0.172316207117321	0.214553783774604	-0.30692672763599	0.053199142291242	0.39999904401346	0	0.38058152772138	0.776234588423758
PSD10_HUMAN	O75832	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10	PSMD10	FALSE	Chaperons	Proteostasis	ENSG00000101843	PSMD10	protein_coding	proteasome 26S subunit, non-ATPase 10 [Source:HGNC Symbol;Acc:HGNC:9555]	-0.655485414826564	-0.373826424432288	-0.000870965981595852	-0.317880520139719	0.0410876197257328	0.389753324044459	1	0.0500393600730097	0.826293551033563
PSMD5_HUMAN	Q16401	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	PSMD5 KIAA0072	PSMD5	FALSE	Chaperons	Proteostasis	ENSG00000095261	PSMD5	protein_coding	proteasome 26S subunit, non-ATPase 5 [Source:HGNC Symbol;Acc:HGNC:9563]	-0.391295100725048	-0.0213323339462572	0.354566447767103	-0.357447304863157	-0.00355780976683809	0.351225090717033	0	0.914197456676992	0.984845072293638
PSMD9_HUMAN	O00233	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	PSMD9	FALSE	Chaperons	Proteostasis	ENSG00000110801	PSMD9	protein_coding	proteasome 26S subunit, non-ATPase 9 [Source:HGNC Symbol;Acc:HGNC:9567]	-0.375102960983938	-0.00235569344523104	0.371047331916083	-0.10295223911017	0.260905750941516	0.563180212161249	0	0.990507928778063	0.156290845747783
PSMG1_HUMAN	O95456	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	PSMG1 C21LRP DSCR2 PAC1	PSMG1	FALSE	Chaperons	Proteostasis	ENSG00000183527	PSMG1	protein_coding	proteasome assembly chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3043]	-0.241796488860549	0.503116884042067	0.87490563383727	-0.725665350329971	-0.176834274494415	0.509521950177061	0	0.167393558247949	0.625045920045149
PSMG2_HUMAN	Q969U7	Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1)	PSMG2 HCCA3 PAC2 TNFSF5IP1	PSMG2	FALSE	Chaperons	Proteostasis	ENSG00000128789	PSMG2	protein_coding	proteasome assembly chaperone 2 [Source:HGNC Symbol;Acc:HGNC:24929]	-0.405865002423452	0.0592706980618824	0.500018826880784	-0.548943211006217	-0.140569368141204	0.321980146089559	0	0.809534320133479	0.554443597526954
PSMG3_HUMAN	Q9BT73	Proteasome assembly chaperone 3 (PAC-3) (hPAC3)	PSMG3 C7orf48 PAC3	PSMG3	FALSE	Chaperons	Proteostasis	ENSG00000157778	PSMG3	protein_coding	proteasome assembly chaperone 3 [Source:HGNC Symbol;Acc:HGNC:22420]	-0.375923717045157	0.0944050462794144	0.526057185371547	-0.499090131828103	-0.085913459804133	0.359091187642128	0	0.700662696749418	0.711171669519553
RM18_HUMAN	Q9H0U6	39S ribosomal protein L18, mitochondrial (L18mt) (MRP-L18) (Mitochondrial large ribosomal subunit protein uL18m)	MRPL18 HSPC071	MRPL18	TRUE	Chaperons	Proteostasis	ENSG00000112110	MRPL18	protein_coding	mitochondrial ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:14477]	-0.69878292383185	-0.40252357426395	0.0116039405132787	-0.320988014070984	0.075786916016375	0.449930598302903	1	0.0568797765445242	0.712900549949404
SACS_HUMAN	Q9NZJ4	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	SACS KIAA0730	SACS	FALSE	Chaperons	Proteostasis	ENSG00000151835	SACS	protein_coding	sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519]	-0.219128733565888	0.167654243802568	0.508900499416992	-0.50389619086155	-0.18206365194896	0.184156880642307	0	0.393794841729083	0.326959899700305
SEC63_HUMAN	Q9UGP8	Translocation protein SEC63 homolog	SEC63 SEC63L	SEC63	FALSE	Chaperons	Proteostasis	ENSG00000025796	SEC63	protein_coding	SEC63 homolog, protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082]	-0.580015018991509	-0.264083088485787	0.12090588811846	-0.570672364025193	-0.271165115321581	0.0920163677654872	0	0.174483675411993	0.140065302192931
SERPH_HUMAN	P50454	Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47)	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14	SERPINH1	FALSE	Chaperons	Proteostasis	ENSG00000149257	SERPINH1	protein_coding	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	-0.141246233695372	0.244726744734614	0.566116188428264	-0.266559712092395	0.0969363141144614	0.43629054100112	0	0.209434335913376	0.603925546683303
SET_HUMAN	Q01105	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	SET	FALSE	Chaperons	Proteostasis	ENSG00000119335	SET	protein_coding	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	-0.640582679259721	-0.247831208090375	0.247698855270583	-0.0681593030924331	0.374547977597252	0.694020396536475	1	0.32141411106345	0.0943613291119078
SGTA_HUMAN	O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	SGTA	FALSE	Chaperons	Proteostasis	ENSG00000104969	SGTA	protein_coding	small glutamine rich tetratricopeptide repeat containing alpha [Source:HGNC Symbol;Acc:HGNC:10819]	-0.118635518782162	0.266224555217975	0.581541481579872	-0.292731298578888	0.068738858637354	0.413019099003904	0	0.170885835233352	0.713298893705587
TBCA_HUMAN	O75347	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	TBCA	TBCA	FALSE	Chaperons	Proteostasis	ENSG00000171530	TBCA	protein_coding	tubulin folding cofactor A [Source:HGNC Symbol;Acc:HGNC:11579]	-0.00986886560148752	0.364550281021768	0.649316697878319	-0.479928379058436	-0.151321707927199	0.214520882705596	-1	0.0564822547257584	0.416449808540517
TBCB_HUMAN	Q99426	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	TBCB CG22 CKAP1	TBCB	FALSE	Chaperons	Proteostasis	ENSG00000105254	TBCB	protein_coding	tubulin folding cofactor B [Source:HGNC Symbol;Acc:HGNC:1989]	-0.109370392136878	0.274924434885533	0.587720108679003	-0.234239487392648	0.130971309893672	0.463787785513266	0	0.156807081840981	0.482501491140365
TBCC_HUMAN	Q15814	Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC)	TBCC	TBCC	FALSE	Chaperons	Proteostasis	ENSG00000124659	TBCC	protein_coding	tubulin folding cofactor C [Source:HGNC Symbol;Acc:HGNC:11580]	-0.590651292959675	-0.279069711074562	0.104932175431936	-0.353149613999882	0.00136078822274962	0.355529478241134	0	0.150398358720863	0.994203273548701
TBCD_HUMAN	Q9BTW9	Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D)	TBCD KIAA0988 SSD1 TFCD PP1096	TBCD	FALSE	Chaperons	Proteostasis	ENSG00000141556	TBCD	protein_coding	tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]	-0.253033556135374	0.132556871283638	0.481806580427827	-0.27349243544556	0.0895233316333877	0.430216257008622	0	0.501314778184051	0.631991845357467
TBCE_HUMAN	Q15813	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	TBCE	TBCE	FALSE	Chaperons	Proteostasis	ENSG00000284770	TBCE	protein_coding	tubulin folding cofactor E [Source:HGNC Symbol;Acc:HGNC:11582]	-0.426894125484929	-0.0640120314006413	0.31662638231187	-0.33408298377614	0.0229771480170817	0.374270063822565	0	0.746234122288792	0.90235252048489
TBCE_HUMAN	Q15813	Tubulin-specific chaperone E (Tubulin-folding cofactor E)	TBCE	TBCE	FALSE	Chaperons	Proteostasis	ENSG00000285053	RP11-293G6.1	protein_coding	tubulin folding cofactor E [Source:HGNC Symbol;Acc:HGNC:11582]	-0.233139855950149	0.153268203244951	0.497876159550737	-0.751421922199564	-0.541174292557723	-0.231161682236405	-1	0.436179748926986	0.00166821139187475
TCPA_HUMAN	P17987	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1 CCT1 CCTA	TCP1	FALSE	Chaperons	Proteostasis	ENSG00000120438	TCP1	protein_coding	t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]	-0.0796312263331632	0.302430480378538	0.60701770198626	-0.447578260973928	-0.110812431407301	0.253480680983278	-1	0.11776188913032	0.552876212238787
TCPB_HUMAN	P78371	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	CCT2 99D8.1 CCTB	CCT2	FALSE	Chaperons	Proteostasis	ENSG00000166226	CCT2	protein_coding	chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]	-0.0759720810249658	0.305771459743258	0.609337441545613	-0.59703157797121	-0.307809179859977	0.0522273300900577	-1	0.113560221741021	0.092073285779752
TCPD_HUMAN	P50991	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)	CCT4 CCTD SRB	CCT4	FALSE	Chaperons	Proteostasis	ENSG00000115484	CCT4	protein_coding	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]	-0.330819609069583	0.0482070953392216	0.413841110172952	-0.609785158675858	-0.325852407056193	0.0322063399642148	0	0.807541123585163	0.0736310856055391
TCPE_HUMAN	P48643	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 CCTE KIAA0098	CCT5	FALSE	Chaperons	Proteostasis	ENSG00000150753	CCT5	protein_coding	chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618]	-0.290227741246666	0.0929091352841938	0.450375049165142	-0.612083315218197	-0.329125885202793	0.0285429896525607	-1	0.638187949750129	0.0706161654542541
TCPG_HUMAN	P49368	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)	CCT3 CCTG TRIC5	CCT3	FALSE	Chaperons	Proteostasis	ENSG00000163468	CCT3	protein_coding	chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]	-0.18314882910874	0.203857390099596	0.536157159899599	-0.552057219456904	-0.245799400304401	0.118896170469433	-1	0.298103842392018	0.182574742281903
TCPH_HUMAN	Q99832	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta) (HIV-1 Nef-interacting protein) [Cleaved into: T-complex protein 1 subunit eta, N-terminally processed]	CCT7 CCTH NIP7-1	CCT7	FALSE	Chaperons	Proteostasis	ENSG00000135624	CCT7	protein_coding	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	-0.345806052545562	0.0313102869374551	0.399718050758577	-0.549087599318459	-0.241791306571037	0.123095158495259	0	0.874328135605205	0.190040609439816
TCPQ_HUMAN	P50990	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	CCT8	FALSE	Chaperons	Proteostasis	ENSG00000156261	CCT8	protein_coding	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]	-0.2118523431835	0.175060913629972	0.514533075801249	-0.626742657347868	-0.350167833960507	0.00476331039038169	-1	0.372923686707922	0.0534614821871267
TCPW_HUMAN	Q92526	T-complex protein 1 subunit zeta-2 (TCP-1-zeta-2) (CCT-zeta-2) (CCT-zeta-like) (TCP-1-zeta-like) (Testis-specific Tcp20) (Testis-specific protein TSA303)	CCT6B	CCT6B	FALSE	Chaperons	Proteostasis	ENSG00000132141	CCT6B	protein_coding	chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621]	-0.110056643805433	0.30696838413782	0.63209299541848	-0.259697071520018	0.150920426826604	0.515321020281	0	0.144551553025354	0.471457249706008
TCPZ_HUMAN	P40227	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)	CCT6A CCT6 CCTZ	CCT6A	FALSE	Chaperons	Proteostasis	ENSG00000146731	CCT6A	protein_coding	chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620]	-0.30994187270738	0.0713900406352167	0.432936157537272	-0.563021327806519	-0.260688919785267	0.103182422904741	0	0.718100341798761	0.156647737466442
TEBP_HUMAN	Q15185	Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES) (Hsp90 co-chaperone) (Progesterone receptor complex p23) (Telomerase-binding protein p23)	PTGES3 P23 TEBP	PTGES3	FALSE	Chaperons	Proteostasis	ENSG00000110958	PTGES3	protein_coding	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	-0.399722172185643	-0.0313151872817437	0.345801733951746	-0.662183518019188	-0.402219437879706	-0.0558374034223307	-1	0.874308620715636	0.0248886899802798
TIM13_HUMAN	Q9Y5L4	Mitochondrial import inner membrane translocase subunit Tim13	TIMM13 TIM13B TIMM13A TIMM13B	TIMM13	TRUE	Chaperons	Proteostasis	ENSG00000099800	TIMM13	protein_coding	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	-0.356508639967442	0.0652878187464419	0.464976645389178	-0.430114711924032	-0.0513115778323945	0.342854819753781	0	0.76725747203661	0.803411228532081
TIM14_HUMAN	Q96DA6	Mitochondrial import inner membrane translocase subunit TIM14 (DnaJ homolog subfamily C member 19)	DNAJC19 TIM14 TIMM14	DNAJC19	TRUE	Chaperons	Proteostasis	ENSG00000205981	DNAJC19	protein_coding	DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]	-0.459400256487651	-0.058223646822922	0.362682887542994	-0.425131954713495	-0.0452279614267877	0.348224572001013	0	0.791870311399107	0.82634772164206
TIM8A_HUMAN	O60220	Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein)	TIMM8A DDP DDP1 TIM8A	TIMM8A	TRUE	Chaperons	Proteostasis	ENSG00000126953	TIMM8A	protein_coding	translocase of inner mitochondrial membrane 8A [Source:HGNC Symbol;Acc:HGNC:11817]	-0.716506158444356	-0.0999412001245888	0.604289058296856	-0.65760103087586	-0.047741943374589	0.599917630942376	0	0.798088510860939	0.895802212631282
TIM9_HUMAN	Q9Y5J7	Mitochondrial import inner membrane translocase subunit Tim9	TIMM9 TIM9 TIM9A TIMM9A	TIMM9	TRUE	Chaperons	Proteostasis	ENSG00000100575	TIMM9	protein_coding	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	-0.791583119946135	0.300661340450647	0.93492608762707	-0.901759061243867	-0.0953612925985519	0.859192491575058	0	0.623034492859146	0.878766507401255
TOM34_HUMAN	Q15785	Mitochondrial import receptor subunit TOM34 (hTom34) (Translocase of outer membrane 34 kDa subunit)	TOMM34 URCC3	TOMM34	TRUE	Chaperons	Proteostasis	ENSG00000025772	TOMM34	protein_coding	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]	-0.293435822337274	0.135108371411169	0.518437731816926	-0.442432256823871	-0.0664721078492286	0.329360231176432	0	0.538784867159054	0.746975440313175
TOR1A_HUMAN	O14656	Torsin-1A (Dystonia 1 protein) (Torsin ATPase-1A) (EC 3.6.4.-) (Torsin family 1 member A)	TOR1A DQ2 DYT1 TA TORA	TOR1A	FALSE	Chaperons	Proteostasis	ENSG00000136827	TOR1A	protein_coding	torsin family 1 member A [Source:HGNC Symbol;Acc:HGNC:3098]	-0.466799659016636	-0.0159781318747153	0.44143483067253	-0.45307937969772	-0.0132064521259225	0.431838047508699	0	0.948235697283718	0.955931147908334
TOR1B_HUMAN	O14657	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)	TOR1B DQ1 FKSG18	TOR1B	FALSE	Chaperons	Proteostasis	ENSG00000136816	TOR1B	protein_coding	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]	-0.540530423806891	0.192803494815321	0.759655167277386	-0.710547433124091	-0.146431612654028	0.532268334957316	0	0.619188597801308	0.686461287653387
TRAP1_HUMAN	Q12931	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	TRAP1 HSP75	TRAP1	TRUE	Chaperons	Proteostasis	ENSG00000126602	TRAP1	protein_coding	TNF receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16264]	-0.374318033109464	-0.00144255671660426	0.37183448749386	-0.518380972333768	-0.200952433666795	0.165147067274634	0	0.994187256797909	0.278372653609086
UN45A_HUMAN	Q9H3U1	Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)	UNC45A SMAP1	UNC45A	FALSE	Chaperons	Proteostasis	ENSG00000140553	UNC45A	protein_coding	unc-45 myosin chaperone A [Source:HGNC Symbol;Acc:HGNC:30594]	-0.30228052913892	0.115158488155808	0.495535324805605	-0.0947974159294857	0.31202097355642	0.629536826160714	0	0.592075809280728	0.128905121556616
UN45B_HUMAN	Q8IWX7	Protein unc-45 homolog B (Unc-45B) (SMUNC45)	UNC45B CMYA4 UNC45	UNC45B	FALSE	Chaperons	Proteostasis	ENSG00000141161	UNC45B	protein_coding	unc-45 myosin chaperone B [Source:HGNC Symbol;Acc:HGNC:14304]	-0.057244110403767	0.32272508251299	0.621029288294911	-0.465099228239229	-0.132614401512403	0.232658480654591	-1	0.093933781479697	0.476976570926319
VATD_HUMAN	Q9Y5K8	V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D)	ATP6V1D ATP6M VATD	ATP6V1D	FALSE	Cilium biogenesis/degradation	Proteostasis	ENSG00000100554	ATP6V1D	protein_coding	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	-0.432997166108095	-0.0714647413547352	0.309874000186852	-0.469276946321107	-0.137860828034285	0.227597335745052	0	0.717817254749926	0.459557288371094
TIGAR_HUMAN	Q9NQ88	Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)	TIGAR C12orf5	TIGAR	TRUE	Glycolysis	Proteostasis	ENSG00000078237	TIGAR	protein_coding	TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]	-0.231345840519091	0.155119412911694	0.499301053511969	0.0359632487924745	0.385392229975961	0.650852041325399	0	0.430591162650566	0.0322674682161023
ATG5_HUMAN	Q9H1Y0	Autophagy protein 5 (APG5-like) (Apoptosis-specific protein)	ATG5 APG5L ASP	ATG5	FALSE	Immunity	Proteostasis	ENSG00000057663	ATG5	protein_coding	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]	-0.44265461953453	0.0305235096152843	0.49040505950891	-0.374481023001888	0.0682368187103051	0.485618759185248	0	0.904300537683117	0.768837925652368
FADD_HUMAN	Q13158	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity) (Protein FADD)	FADD MORT1 GIG3	FADD	FALSE	Immunity	Proteostasis	ENSG00000168040	FADD	protein_coding	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	-0.328128681742498	0.148162628651388	0.564390234694896	-0.721847179589661	-0.410431511309522	0.0392109365433541	-1	0.544954580331486	0.072259558112035
S10A8_HUMAN	P05109	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	S100A8	FALSE	Immunity	Proteostasis	ENSG00000143546	S100A8	protein_coding	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	-0.256164518541341	0.129266267237654	0.479231644994574	-0.408306250621851	-0.0630946145011889	0.29790577077808	0	0.512090240689224	0.735969206817856
S10A9_HUMAN	P06702	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14	S100A9	FALSE	Immunity	Proteostasis	ENSG00000163220	S100A9	protein_coding	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	-0.481095325675862	-0.131647162629846	0.253899939396156	-0.497122519089836	-0.173311255346994	0.192873440667884	0	0.504282374864439	0.3511378649762
SQSTM_HUMAN	Q13501	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	SQSTM1	FALSE	Immunity	Proteostasis	ENSG00000161011	SQSTM1	protein_coding	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	-0.468016148491365	-0.115022913926189	0.269624236538895	-0.256149302378415	0.107992660600077	0.44529313448612	0	0.560004654923649	0.563085845760917
TOLIP_HUMAN	Q9H0E2	Toll-interacting protein	TOLLIP	TOLLIP	FALSE	Immunity	Proteostasis	ENSG00000078902	TOLLIP	protein_coding	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	-0.345906168930583	0.0311966789613846	0.399622496768208	-0.596233075589986	-0.306686370325616	0.0534637208123256	0	0.874780582551541	0.0933273994907031
VA0D1_HUMAN	P61421	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)	ATP6V0D1 ATP6D VPATPD	ATP6V0D1	FALSE	Membrane Transport	Proteostasis	ENSG00000159720	ATP6V0D1	protein_coding	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]	-0.717550840255206	-0.433595946397214	-0.0260495928107691	-0.345832022798428	0.0479421897366925	0.427357879083092	1	0.0387353728667639	0.816096208598116
AAKG2_HUMAN	Q9UGJ0	5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)	PRKAG2	PRKAG2	FALSE	Metabolism	Proteostasis	ENSG00000106617	PRKAG2	protein_coding	protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]	-0.349395172180061	0.0628615501455919	0.45472722220756	-0.519304274898909	-0.16517859054158	0.237360186518107	0	0.770434880898019	0.42001924701179
